,name,start_id,end_id,highway,crime_count,light_count,component,start_lat,start_lon,end_lat,end_lon,distance
116,Upper Jordan Fire Trail,775886290,775886289,track,0,0,0,37.8753513,-122.2313775,37.8755926,-122.2306641,223.7412352363402
117,Upper Jordan Fire Trail,775886289,760719868,track,0,0,0,37.8755926,-122.2306641,37.8760092,-122.2304881,160.38488813447378
118,Upper Jordan Fire Trail,760719868,7796210062,track,0,0,0,37.8760092,-122.2304881,37.8768065,-122.2292493,460.7814335591112
119,Upper Jordan Fire Trail,7796210062,92041641,track,0,0,0,37.8768065,-122.2292493,37.876787,-122.2291571,27.516453711401176
120,Upper Jordan Fire Trail,92041641,760721222,track,0,0,0,37.876787,-122.2291571,37.8759227,-122.2281915,420.8574873884411
121,Upper Jordan Fire Trail,760721222,760721221,track,0,0,0,37.8759227,-122.2281915,37.875853,-122.2275835,177.1095666970744
122,Upper Jordan Fire Trail,760721221,92041591,track,0,0,0,37.875853,-122.2275835,37.8756519,-122.2274575,81.935626146793
123,Upper Jordan Fire Trail,92041591,92041580,track,0,0,0,37.8756519,-122.2274575,37.8754815,-122.2275058,63.77116696338534
124,Upper Jordan Fire Trail,92041580,92041556,track,0,0,0,37.8754815,-122.2275058,37.8751311,-122.2279483,180.68902590909835
125,Upper Jordan Fire Trail,92041556,35706545,track,0,0,0,37.8751311,-122.2279483,37.8747807,-122.227955,127.98579362897915
126,Upper Jordan Fire Trail,35706545,775884840,track,0,0,0,37.8747807,-122.227955,37.8745965,-122.2283439,130.7448210061515
127,Upper Jordan Fire Trail,775884840,35706553,track,0,0,0,37.8745965,-122.2283439,37.8742609,-122.2283292,122.63927664599343
128,Upper Jordan Fire Trail,35706553,775884842,track,0,0,0,37.8742609,-122.2283292,37.8740121,-122.2280864,114.69759550624038
129,Upper Jordan Fire Trail,775884842,775884829,track,0,0,0,37.8740121,-122.2280864,37.87354,-122.2280167,173.5846477579846
130,Upper Jordan Fire Trail,775884829,760000672,track,0,0,0,37.87354,-122.2280167,37.8726729,-122.2283815,333.6822746916263
131,Upper Jordan Fire Trail,760000672,35706566,track,0,0,0,37.8726729,-122.2283815,37.8719975,-122.2306292,693.316898622018
132,Upper Jordan Fire Trail,35706566,760000676,track,0,0,0,37.8719975,-122.2306292,37.8718059,-122.230762,79.76272577077462
133,Upper Jordan Fire Trail,760000676,760000688,track,0,0,0,37.8718059,-122.230762,37.8710776,-122.2306171,269.2457582823231
