the_geom,t_addl,street_nam,f_addl,x,t_zip,fullname,i_strno,z,speed,y,str_nam,id,mounttype,poletype
POINT (-122.26539879577369 37.864258725211826),2199,DWIGHT,2101,564615.164424,94704,DWIGHT,2175,26.158,35,4191008.67272,DWIGHT WAY,261,Pole Mast,MASTARM POLE
POINT (-122.27240104646478 37.8650857199217),1899,CHANNING,1827,563998.526389,94704,CHANNING,2400,9.521,25,4191095.6045,M L KING JR WAY,262,Pole Mast,MASTARM POLE
POINT (-122.27247213831792 37.86522099080566),1899,CHANNING,1827,563992.156353,94703,CHANNING,1843,10.863,25,4191110.5642,CHANNING WAY,263,Single Pole,SINGLE POLE
POINT (-122.29400691804688 37.860291232328095),2499,7TH,2401,562102.105031,94710,7TH,907,-19.429,35,4190549.05403,DWIGHT WAY,264,Pole Mast,MASTARM POLE
POINT (-122.28122254657474 37.8620973174928),1499,DWIGHT,1451,563225.143297,94702,DWIGHT,2500,-3.78,35,4190758.02466,SACRAMENTO ST,265,Single Pole,SINGLE POLE
POINT (-122.28131201448772 37.862221306593916),1499,DWIGHT,1451,563217.167313,94702,DWIGHT,2452,-2.612,35,4190771.72096,SACRAMENTO ST,266,Single Pole,SINGLE POLE
POINT (-122.28127783200722 37.86225279012499),1499,DWIGHT,1451,563220.147877,94702,DWIGHT,2452,-2.37,35,4190775.23688,SACRAMENTO ST,267,Single Pole,SINGLE POLE
POINT (-122.28107823846287 37.86210492933842),2549,SACRAMENTO,2501,563237.830765,94702,SACRAMENTO,2500,-3.979,35,4190758.96676,SACRAMENTO ST,268,Single Pole,SINGLE POLE
POINT (-122.2969579136736 37.865221351980686),819,ALLSTON,801,561838.400525,94710,ALLSTON,2200,-19.244,25,4191094.09947,SIXTH ST,269,Single Pole,SINGLE POLE
POINT (-122.29694146484256 37.8652639859025),819,ALLSTON,801,561839.810943,94710,ALLSTON,815,-22.1,25,4191098.84134,ALLSTON WAY,270,Single Pole,SINGLE POLE
POINT (-122.29689028700297 37.86511618265787),2299,6TH,2201,561844.436239,94710,6TH,2200,-22.263,35,4191082.47549,SIXTH ST,271,Pole Mast,MASTARM POLE
POINT (-122.29671191476267 37.86516599356054),2299,6TH,2201,561860.084822,94710,6TH,2207,-22.852,35,4191088.1202,SIXTH ST,272,Single Pole,SINGLE POLE
POINT (-122.28089075449542 37.86215920316439),1525,DWIGHT,1501,563254.276599,94702,DWIGHT,1518,-4.059,35,4190765.11514,DWIGHT WAY,273,Single Pole,SINGLE POLE
POINT (-122.28090437657033 37.86213142737846),1525,DWIGHT,1501,563253.101396,94702,DWIGHT,1518,-4.304,35,4190762.02478,DWIGHT WAY,274,Single Pole,SINGLE POLE
POINT (-122.28093324118421 37.86228455677223),1525,DWIGHT,1501,563250.431902,94703,DWIGHT,2495,-4.036,35,4190778.99525,SACRAMENTO ST,275,Single Pole,SINGLE POLE
POINT (-122.25883999996259 37.86151498326516),2699,TELEGRAPH,2629,565194.4984,94704,TELEGRAPH,2655,36.735,35,4190708.80933,TELEGRAPH AVE,276,Pole Mast,MASTARM POLE
POINT (-122.24707801432321 37.862567191470006),2939,DERBY,2935,566228.188002,94704,DERBY,2951,78.299,25,4190833.83392,DERBY ST,277,Single Pole,SINGLE POLE
POINT (-122.24727389531984 37.86248856873531),2939,DERBY,2935,566211.029067,94704,DERBY,2951,82.561,25,4190824.97193,DERBY ST,278,Pole Mast,MASTARM POLE
POINT (-122.24728792857255 37.86242105255527),2939,DERBY,2935,566209.854477,94705,DERBY,2700,82.113,25,4190817.4705,CLAREMONT BLVD,279,Single Pole,SINGLE POLE
POINT (-122.24690152431425 37.86245610153525),2981,DERBY,2941,566243.812002,94705,DERBY,2701,80.457,25,4190821.63351,CLAREMONT BLVD,280,Single Pole,SINGLE POLE
POINT (-122.24695523430256 37.86258537574746),2981,DERBY,2941,566238.972675,94704,DERBY,2951,77.586,25,4190835.93926,DERBY ST,281,Single Pole,SINGLE POLE
POINT (-122.27225927256855 37.86340704579086),1899,DWIGHT,1821,564012.449423,94704,DWIGHT,2488,46.716,35,4190909.45036,M L KING JR WAY,282,Single Pole,SINGLE POLE
POINT (-122.27219197251888 37.863250561921646),2529,MARTIN LUTHER KING J,2501,564018.504624,94704,MARTIN LUTHER KING J,2500,9.182,35,4190892.13368,M L KING JR WAY,283,Pole Mast,MASTARM POLE
POINT (-122.2719922135546 37.86343312039809),1999,DWIGHT,1901,564035.917913,94704,DWIGHT,2489,47.385,35,4190912.52605,M L KING JR WAY,284,Single Pole,SINGLE POLE
