FACILITYID,INSTALLDAT,WATTAGE,the_geom,CONDITION,LASTUPDATE,ACCOUNT,ARM_LENGTH,LATITUDE,LONGITUDE,DISTRIBUTI,CITY_FACIL,GROUP_,HEADS,INSTALLED,PHOTOCELL,ISSUES_REP,MODEL_NUMB,MOUNTING_H,OLD_TARIFF,OLD_TYPE,VOLTAGE,OLD_WATTAG,PGE_TARIFF,PLATE_PHOT,POLE_CONDI,POLE_MATER,RATE,SAID,SPID,ADDRESS,TWIN_POLE_,UNIQUE_ID,MANUFACTUR,WARRANTY_D,WARRANTY_P,WARRANTY,AUDIT_DATE
B5903,07/01/2014 12:00:00 AM +0000,42,POINT (-122.29240199986953 37.85852499881979),OK,11/30/1899 12:00:00 AM +0000,6274328734,3,37.858525,-122.292402,3,5903,CityStreetPath,Single,YES,PHOTOCELL,,EC1-6M-MV-NW-3-GY-WL-530,> 30 feet,HPS_120_70,HPS,120,70,S-LD-45,Berkeley_Install_7-1-14_9_00_AM_b5903_installer14.jpg,OK,Wood,LS-2,6274328004,8170144256,2615 8TH ST,,0417_0834_3214,Leotek,07/01/2014 12:00:00 AM +0000,Graybar,10,04/17/2014 12:00:00 AM +0000
B5689,08/14/2014 12:00:00 AM +0000,42,POINT (-122.25109699976781 37.858555999275104),OK,11/30/1899 12:00:00 AM +0000,6274328734,3,37.858556,-122.251097,3,5689,CityStreetPath,Single,YES,PHOTOCELL,,EC1-6M-MV-NW-3-GY-WL-530,25-30 feet,HPS_120_70,HPS,120,70,S-LD-45,Berkeley_Install_8-14-14_1_07_PM_B5689_installer16.jpg,OK,Wood,LS-2,6274328004,8159806856,2892 PIEDMONT AVE,,0425_1401_5908,Leotek,08/14/2014 12:00:00 AM +0000,Graybar,10,04/25/2014 12:00:00 AM +0000
B2876,08/12/2014 12:00:00 AM +0000,42,POINT (-122.25699700042934 37.85856199912657),OK,11/30/1899 12:00:00 AM +0000,6274328734,3,37.858562,-122.256997,3,2876,CityStreetPath,Single,YES,PHOTOCELL,,EC1-6M-MV-NW-3-GY-WL-530,25-30 feet,HPS_120_70,HPS,120,70,S-LD-45,Berkeley_Install_8-12-14_2_42_PM_b2876_installer14.jpg,OK,Wood,LS-2,6274328004,8138953626,2857 REGENT ST,,0429_1610_3091,Leotek,08/12/2014 12:00:00 AM +0000,Graybar,10,04/29/2014 12:00:00 AM +0000
B1991,08/07/2014 12:00:00 AM +0000,42,POINT (-122.26168399987368 37.85856199890674),OK,11/30/1899 12:00:00 AM +0000,6274328734,3,37.858562,-122.261684,3,1991,CityStreetPath,Single,YES,PHOTOCELL,,EC1-6M-MV-NW-3-GY-WL-530,25-30 feet,HPS_120_70,HPS,120,70,S-LD-45,Berkeley_Install_8-7-14_2_24_PM_B1991_installer10.jpg,OK,Wood,LS-2,6274328004,8128514034,2280 STUART ST,,0430_1326_5695,Leotek,08/07/2014 12:00:00 AM +0000,Graybar,10,04/30/2014 12:00:00 AM +0000
B6090,07/15/2014 12:00:00 AM +0000,42,POINT (-122.28846500026461 37.858580999269755),OK,11/30/1899 12:00:00 AM +0000,6274328734,2,37.858581,-122.288465,3,6090,CityStreetPath,Single,YES,PHOTOCELL,,EC1-6M-MV-NW-3-GY-WL-530,25-30 feet,HPS_120_70,HPS,120,70,S-LD-45,Berkeley_Install_7-15-14_2_15_PM_b6090_installer13.jpg,OK,Wood,LS-2,6274328004,8170157702,1108 CARLETON ST,,0417_1516_0813,Leotek,07/15/2014 12:00:00 AM +0000,Graybar,10,04/17/2014 12:00:00 AM +0000
B1980,08/07/2014 12:00:00 AM +0000,42,POINT (-122.26669100009516 37.858584999372546),OK,11/30/1899 12:00:00 AM +0000,6274328734,6,37.858585,-122.266691,3,1980,CityStreetPath,Single,YES,PHOTOCELL,,EC1-6M-MV-NW-3-GY-WL-530,25-30 feet,HPS_120_200,HPS,120,200,S-LD-45,Berkeley_Install_8-7-14_10_02_AM_b1980_installer13.jpg,OK,Wood,LS-2,6274328014,8170204708,2106 STUART ST,,0501_1207_0749,Leotek,08/07/2014 12:00:00 AM +0000,Graybar,10,05/01/2014 12:00:00 AM +0000
B5687,08/14/2014 12:00:00 AM +0000,42,POINT (-122.25192400015959 37.85862099947954),OK,11/30/1899 12:00:00 AM +0000,6274328734,3,37.858621,-122.251924,3,5687,CityStreetPath,Single,YES,PHOTOCELL,,EC1-6M-MV-NW-3-GY-WL-530,> 30 feet,HPS_120_70,HPS,120,70,S-LD-45,Berkeley_Install_8-14-14_1_31_PM_B5687_installer16.jpg,OK,Wood,LS-2,6274328004,8159806838,2743 RUSSELL ST,,0425_1406_8526,Leotek,08/14/2014 12:00:00 AM +0000,Graybar,10,04/25/2014 12:00:00 AM +0000
B6099,07/16/2014 12:00:00 AM +0000,42,POINT (-122.28033200028082 37.858624998988745),OK,11/30/1899 12:00:00 AM +0000,6274328734,2,37.858625,-122.280332,3,6099,CityStreetPath,Single,YES,PHOTOCELL,,EC1-6M-MV-NW-3-GY-WL-530,25-30 feet,HPS_120_70,HPS,120,70,S-LD-45,Berkeley_Install_7-16-14_10_16_AM_b6099_installer14.jpg,OK,Wood,LS-2,6274328004,8170157762,1492 DERBY ST,,0417_1533_9312,Leotek,07/16/2014 12:00:00 AM +0000,Graybar,10,04/17/2014 12:00:00 AM +0000
B4255,08/07/2014 12:00:00 AM +0000,42,POINT (-122.26567599960939 37.85862499922956),OK,11/30/1899 12:00:00 AM +0000,6274328734,2,37.858625,-122.265676,3,4255,CityStreetPath,Single,YES,PHOTOCELL,,EC1-6M-MV-NW-3-GY-WL-530,25-30 feet,HPS_120_70,HPS,120,70,S-LD-45,Berkeley_Install_8-7-14_10_13_AM_b4255_installer13.jpg,OK,Wood,LS-2,6274328004,8149378676,2142 STUART ST,,0501_1209_1011,Leotek,08/07/2014 12:00:00 AM +0000,Graybar,10,05/01/2014 12:00:00 AM +0000
B5691,08/14/2014 12:00:00 AM +0000,42,POINT (-122.25011100045073 37.85862899880833),OK,11/30/1899 12:00:00 AM +0000,6274328734,3,37.858629,-122.250111,3,5691,CityStreetPath,Single,YES,PHOTOCELL,,EC1-6M-MV-NW-3-GY-WL-530,25-30 feet,HPS_120_70,HPS,120,70,S-LD-45,Berkeley_Install_8-14-14_11_40_AM_5691B_installer16.jpg,OK,Wood,LS-2,6274328004,8159806868,2825 RUSSELL ST,,0425_1322_7805,Leotek,08/14/2014 12:00:00 AM +0000,Graybar,10,04/25/2014 12:00:00 AM +0000
